ngram,log_prob
ehe,-8.04160129612445
twa,-8.04340918129646
oss,-8.043869215918312
det,-8.04489708489278
onw,-8.04659243760744
err,-8.0467494794056
ofe,-8.047207416420719
dof,-8.051307635509778
sol,-8.051424753724923
ppo,-8.053971629438763
tas,-8.060533443503854
ick,-8.063683269456591
mpo,-8.06665389168308
egi,-8.067200441409957
owt,-8.067979976935373
uto,-8.069668330278017
ddi,-8.072103295145967
ets,-8.07287322916266
ndf,-8.073062819367237
etw,-8.073321635672317
tog,-8.07383423985839
bes,-8.075182854033006
lig,-8.075555214421804
lif,-8.076015057561772
hos,-8.078207394657046
hig,-8.078824864262284
ndl,-8.078931483916293
non,-8.079672879870321
hol,-8.079985277042649
orl,-8.082310903530685
yre,-8.084392016890153
ota,-8.085482319200723
pac,-8.089257945055598
ute,-8.091011519284775
tbe,-8.09103102635628
aso,-8.091034066453643
osi,-8.091698802967631
rio,-8.093043564821366
oco,-8.094746834575318
rte,-8.09657502796688
dec,-8.099204950381004
egr,-8.099896101187339
hor,-8.10103364310469
ash,-8.101234023367214
nec,-8.101520204262114
iso,-8.101608020366543
toe,-8.102507363082218
ics,-8.102828771334977
bli,-8.103519097336264
ceo,-8.105031940811147
sim,-8.107222981366746
tud,-8.107555953961388
yco,-8.108317082539964
ict,-8.10834775625987
wee,-8.10841013765147
scr,-8.109123676020891
nre,-8.109232801757452
cau,-8.110150651441677
esf,-8.110783518713081
rew,-8.111088471221676
sac,-8.112048645031809
ecu,-8.112599357141312
emp,-8.113563056370309
tac,-8.116320720373821
roc,-8.116506775733104
erg,-8.116908367915016
tet,-8.117149140614533
air,-8.11733352953159
lco,-8.117635022731612
avi,-8.118248434822313
nme,-8.118475990041885
arg,-8.120145703817393
aco,-8.120899512524236
pat,-8.121069191294017
ism,-8.12643490025527
rna,-8.127540776810507
reo,-8.128023060262434
rol,-8.13047987382237
rts,-8.131359412659059
nas,-8.131381305535632
soc,-8.131523489012437
dic,-8.132052304033184
fou,-8.13313587582706
mit,-8.133150408896068
inv,-8.133458031029633
efr,-8.134195229186602
ann,-8.134537306573238
rpr,-8.134627276750832
pli,-8.135276625102437
emb,-8.135472332905222
lud,-8.135639204718656
ndd,-8.135792062544352
had,-8.136023380598566
dpr,-8.13611852004617
nly,-8.138217068175837
ler,-8.138415477423049
epl,-8.138718612267374
loc,-8.139923026150623
upp,-8.140312311417953
amo,-8.142393285225628
tti,-8.14455931124809
ool,-8.145428588555344
ctu,-8.145673652170109
nci,-8.146979976541951
til,-8.15141797916688
arr,-8.15251089737372
vis,-8.153729890305598
amp,-8.154259517966539
rap,-8.154820209005244
jus,-8.155603597112254
org,-8.157093727372757
eff,-8.159280202233456
tse,-8.160574287970803
val,-8.160629421507366
imi,-8.163962084138575
aft,-8.16632287973119
oti,-8.166668749999959
bra,-8.168378274373628
rfo,-8.169123601668955
cin,-8.169369062426876
ink,-8.1701940986204
onm,-8.171017071684306
ntl,-8.173044197504888
alp,-8.173105523080602
dar,-8.17380567115819
qua,-8.177499663790972
tif,-8.178046733184342
cce,-8.178474374049385
seo,-8.180657997690888
ngr,-8.180679334302116
dsa,-8.184858436738818
pon,-8.185783530006608
hoo,-8.187706328466458
iff,-8.187948299164066
sfr,-8.191025619484137
mme,-8.191947750725719
tma,-8.19299500262661
rke,-8.193669356995766
tca,-8.194737242835162
eep,-8.195274425456011
eex,-8.196979522402378
pea,-8.197288546369407
liv,-8.197677990576583
lyi,-8.19798835825483
eho,-8.200103168679817
llt,-8.200981961604555
ogr,-8.202035608567929
hal,-8.202484396303538
efe,-8.20309518438077
lst,-8.203695287099396
stt,-8.204571000161485
rot,-8.205520484490231
eus,-8.207479939955943
iou,-8.207514949900338
rds,-8.209226237850308
try,-8.210582932790533
